,count
spfc,1620
pra,1100
vai,774
centrai_spfc,669
ceni,626
time,565
cara,373
rogério,332
clube,331
jogador,317
bem,298
bom,289
técnico,289
melhor,285
pato,283
saopaulofc,272
jogo,269
acho,260
ogabrielsa,256
agora,255
tudo,255
ainda,245
elenco,240
torcida,239
nada,237
sim,235
pode,230
ano,220
diario_spfc,210
diretoria,210
ver,206
faz,202
anos,199
fazer,198
jogadores,197
assim,196
jogar,191
gente,190
futebol,189
guine_spfc,185
nunca,185
dia,178
todos,178
sempre,175
aqui,172
coisa,171
contra,170
pior,162
hoje,155
tempo,149
treinador,149
problema,144
ruim,144
mano,143
todo,141
casares,141
trabalho,139
vou,138
boa,138
vão,136
menos,134
deus,134
david,133
ficar,132
futebol_info,130
quer,129
bola,128
jogos,126
volta,125
fez,125
cair,124
sabe,121
sendo,119
botafogo,117
sair,117
gol,114
dá,114
merda,114
maior,111
vem,111
sobre,110
falar,110
juliocasaressp,109
sei,109
crespo,109
sp,108
dar,108
desse,108
alisson,108
torcedor,107
brasil,107
pessoas,106
somosaopaulinos,106
fica,105
campo,104
luan,104
culpa,104
então,103
outro,102
me_mari,102
